#OTU_num,Kingdom,Phylum,Class,Order,Family,Genus,Species,Unassigned
ASV4813,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,Oscillibacter,,False
ASV4814,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,,False
ASV4815,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,Methanobrevibacter_acididurans,False
ASV4816,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,,,False
ASV4817,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechlorobacter,,False
ASV4818,Bacteria,Patescibacteria,Parcubacteria,Candidatus_Campbellbacteria,,,,False
ASV4819,Bacteria,,,,,,,False
ASV4820,Bacteria,Proteobacteria,Gammaproteobacteria,,,,,False
ASV4821,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,,,False
ASV4822,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,[Eubacterium]_brachy_group,,False
ASV4823,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,False
ASV4824,Bacteria,Firmicutes,Clostridia,Oscillospirales,UCG-010,,,False
ASV4825,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,,False
ASV4826,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,V9D2013_group,,False
ASV4827,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,,,False
ASV4828,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,Ochrobactrum_gallinifaecis,False
ASV4829,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Beutenbergiaceae,,,False
ASV4830,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Pseudarcobacter,,False
ASV4831,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,False
ASV4832,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobrevibacter,,False
ASV4833,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,,False
ASV4834,Bacteria,Actinobacteriota,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_sp_MC_10,False
ASV4835,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,,False
ASV4836,Bacteria,Firmicutes,unidentified_Firmicutes,Oscillospirales,Ruminococcaceae,,,False
ASV4837,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,,False
ASV4838,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,,False
ASV4839,Bacteria,,,,,,,False
ASV4840,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,,,False
ASV4841,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,,,False
ASV4842,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus_raffinolactis,False
